coin,datetime,price,volume
avalanche-2,2025-03-15 00:00:00,18.572363162100228,300373499.3240296
avalanche-2,2025-03-16 00:00:00,19.42397286319994,273978084.7319812
avalanche-2,2025-03-17 00:00:00,18.31982935160558,244193053.23556852
avalanche-2,2025-03-18 00:00:00,18.830818505110745,261616336.75967273
avalanche-2,2025-03-19 00:00:00,19.017253167965247,268636924.8134799
avalanche-2,2025-03-20 00:00:00,19.732076258080227,388291274.5681969
avalanche-2,2025-03-21 00:00:00,18.735394116433113,242429874.05213732
avalanche-2,2025-03-22 00:00:00,19.153504077905303,195820647.89923596
avalanche-2,2025-03-23 00:00:00,19.397493932739046,142900406.4081228
avalanche-2,2025-03-24 00:00:00,19.777603125117867,159378923.56782937
avalanche-2,2025-03-25 00:00:00,21.484762623053754,526659302.89433163
avalanche-2,2025-03-26 00:00:00,22.91839722354371,390751933.5086648
avalanche-2,2025-03-27 00:00:00,22.094542761872837,293554599.0908573
avalanche-2,2025-03-28 00:00:00,22.010138479262164,236199803.7015333
avalanche-2,2025-03-29 00:00:00,20.393905102379996,328693057.7943167
avalanche-2,2025-03-30 00:00:00,19.67115660139404,247390449.99250892
avalanche-2,2025-03-31 00:00:00,18.860870143264492,230110474.37393418
avalanche-2,2025-04-01 00:00:00,18.77241313136469,260281127.2814541
avalanche-2,2025-04-02 00:00:00,19.819514963874795,300137303.4477783
avalanche-2,2025-04-03 00:00:00,18.005460348573276,483644183.7687256
avalanche-2,2025-04-04 00:00:00,18.16700855595577,344253627.6943345
avalanche-2,2025-04-05 00:00:00,18.186239334064684,350174949.0843862
avalanche-2,2025-04-06 00:00:00,17.89495169881103,132267118.90163226
avalanche-2,2025-04-07 00:00:00,15.976458681568712,353781020.1145002
avalanche-2,2025-04-08 00:00:00,16.689508767426556,750151178.2761738
avalanche-2,2025-04-09 00:00:00,16.10131975864899,372492520.59235674
avalanche-2,2025-04-10 00:00:00,18.44515641455098,609643121.1684761
avalanche-2,2025-04-11 00:00:00,18.314892880992307,293481770.6076646
avalanche-2,2025-04-12 00:00:00,19.149404510225917,342863550.609558
avalanche-2,2025-04-13 00:00:00,20.467869073949146,341383099.4066005
avalanche-2,2025-04-14 00:00:00,19.521241675037203,278265531.5159187
avalanche-2,2025-04-15 00:00:00,20.102924329782844,406919333.0402943
avalanche-2,2025-04-16 00:00:00,19.030567328434707,276937259.6717138
avalanche-2,2025-04-17 00:00:00,18.76735836646445,256604149.11838847
avalanche-2,2025-04-18 00:00:00,19.068702814839124,200930194.10764122
avalanche-2,2025-04-19 00:00:00,19.087719134746372,125777479.14120579
avalanche-2,2025-04-20 00:00:00,19.923544824545182,183149820.5914022
avalanche-2,2025-04-21 00:00:00,19.488678183630295,166429245.30055383
avalanche-2,2025-04-22 00:00:00,19.840236788523388,364527995.99166137
avalanche-2,2025-04-23 00:00:00,22.08248567647882,479854923.1506909
avalanche-2,2025-04-24 00:00:00,22.34206376992542,455146689.6213783
avalanche-2,2025-04-25 00:00:00,22.358569227038366,337236319.99405277
avalanche-2,2025-04-26 00:00:00,22.21224698349822,385913417.65177876
avalanche-2,2025-04-27 00:00:00,22.42266153714482,295427267.08285373
avalanche-2,2025-04-28 00:00:00,21.76131374420904,260556605.88383955
avalanche-2,2025-04-29 00:00:00,21.856346347625976,390386722.1447342
avalanche-2,2025-04-30 00:00:00,21.495104415759847,272527695.47379476
avalanche-2,2025-05-01 00:00:00,20.911718399489054,314726123.8304364
avalanche-2,2025-05-02 00:00:00,21.64039979213997,337228475.74193376
avalanche-2,2025-05-03 00:00:00,21.236230289707503,303450120.31269616
avalanche-2,2025-05-04 00:00:00,20.558627289563443,168653006.8987127
avalanche-2,2025-05-05 00:00:00,19.883841658205988,189971609.09824914
avalanche-2,2025-05-06 00:00:00,19.690937645254376,239292173.83782345
avalanche-2,2025-05-07 00:00:00,20.0592038012727,235673189.50914693
avalanche-2,2025-05-08 00:00:00,19.536304099901354,286789037.53890663
avalanche-2,2025-05-09 00:00:00,22.06135529506582,558227140.7747273
avalanche-2,2025-05-10 00:00:00,23.23931758660657,712574477.795841
